File name	Line	Function	Duration[ms]	Explored nodes
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Ajax.aspx.cs	45	_WebAppDemo.Ajax.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Ajax.aspx.cs	51	_WebAppDemo.Ajax.Button1_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Ajax.aspx.cs	57	_WebAppDemo.Ajax.Button2_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\lib\Cryptograpy.cs	59	_WebAppDemo.lib.Cryptograpy.compute_hash$string$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\lib\Cryptograpy.cs	76	_WebAppDemo.lib.Cryptograpy.compute_hash_sha2$string$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Default.aspx.cs	45	_WebAppDemo.Default1.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\FileInjection.aspx.cs	48	_WebAppDemo.FileInjection.Page_Load$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\FileInjection.aspx.cs	55	_WebAppDemo.FileInjection.Button1_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Global.asax.cs	45	_WebAppDemo.Global.Application_Start$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Global.asax.cs	49	_WebAppDemo.Global.Session_Start$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\HTTPRS.aspx.cs	45	_WebAppDemo.HTTPRS.Page_Load$object.System.EventArgs$	0	6
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\HTTPRS.aspx.cs	72	_WebAppDemo.HTTPRS.Button2_Click$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\HTTPRS.aspx.cs	78	_WebAppDemo.HTTPRS.Button3_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\LDAPInjection.aspx.cs	13	_WebAppDemo.LDAPInjection.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\LFI.aspx.cs	49	_WebAppDemo.LFI.Page_Load$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\LFI.aspx.cs	70	_WebAppDemo.LFI.Button1_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\LFI.aspx.cs	76	_WebAppDemo.LFI.Button2_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\LFI.aspx.cs	82	_WebAppDemo.LFI.Button3_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\login.aspx.cs	49	_WebAppDemo.login.Page_Load$object.System.EventArgs$	0	2
